"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerelrendezés","Hengerek száma","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Kategória","Ajtók száma","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Hasznos teher","Sebességváltó","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Gumiméret","Újkori ára","Csomagtér térfogata","CO2-kibocsátás","Vegyes fogyasztás","Városi fogyasztás","Országúti fogyasztás","Fordulási kör átmérõje","Környezetvédelmi osztály"
"1","MASERATI 420 (1985-1986)","https://katalogus.hasznaltauto.hu/maserati/420-76975","1985-1986","Lépcsõshátú","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","133 kW, 181 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MASERATI 420 i (1987-1988)","https://katalogus.hasznaltauto.hu/maserati/420_i-76976","1987-1988","Lépcsõshátú","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","138 kW, 188 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MASERATI 430 i (1988-1994)","https://katalogus.hasznaltauto.hu/maserati/430_i-76977","1988-1994","Lépcsõshátú","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","182 kW, 248 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MASERATI 2.8 Bi Turbo (1991-1994)","https://katalogus.hasznaltauto.hu/maserati/2.8_bi_turbo-76978","1991-1994","Lépcsõshátú","Benzin",NA,"6 henger","Hátsó kerék","2 790 cm3","165 kW, 224 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MASERATI 2.8 Bi Turbo (1991-1994)","https://katalogus.hasznaltauto.hu/maserati/2.8_bi_turbo-76979","1991-1994","Lépcsõshátú","Benzin",NA,"6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MASERATI 2.0 (1986-1988)","https://katalogus.hasznaltauto.hu/maserati/2.0-76980","1986-1988","Lépcsõshátú","Benzin",NA,"6 henger","Hátsó kerék","1 996 cm3","162 kW, 220 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MASERATI A6 1500 (1946–)","https://katalogus.hasznaltauto.hu/maserati/a6_1500-71880","1946–","Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MASERATI A6GCM (1947–)","https://katalogus.hasznaltauto.hu/maserati/a6gcm-71881","1947–","Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MASERATI A6GCS (1947–)","https://katalogus.hasznaltauto.hu/maserati/a6gcs-71882","1947–","Lépcsõshátú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MASERATI Biturbo 430 (1988-1992)","https://katalogus.hasznaltauto.hu/maserati/biturbo_430-15465","1988-1992","Sedan","Benzin","V","6 henger","Hátsó kerék","2 788 cm3","165 kW, 224 LE","Nagykocsi","4 ajtó","5 fõ","1 450 kg","1 856 kg","1 730 mm","1 370 mm","4 400 mm","2 600 mm","80 l","406 kg","Manuális (5 fokozatú) sebességváltó","220 km/h","6,2 s","363 Nm","205/50 VR15 ",NA,NA,NA,NA,NA,NA,NA,NA
"11","MASERATI Biturbo 430 (1992-1994)","https://katalogus.hasznaltauto.hu/maserati/biturbo_430-15466","1992-1994","Sedan","Benzin","V","6 henger","Hátsó kerék","2 788 cm3","205 kW, 279 LE","Nagykocsi","4 ajtó","5 fõ","1 400 kg","1 910 kg","1 730 mm","1 370 mm","4 400 mm","2 600 mm","80 l","510 kg","Manuális (5 fokozatú) sebességváltó","270 km/h","5,3 s","431 Nm","205/45 ZR16 ",NA,NA,NA,NA,NA,NA,NA,NA
"12","MASERATI 4.7 (1971-1980)","https://katalogus.hasznaltauto.hu/maserati/4.7-71883","1971-1980","Coupe","Benzin","V","8 henger","Hátsó kerék","4 719 cm3","228 kW, 310 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MASERATI 5.0 (1976-1980)","https://katalogus.hasznaltauto.hu/maserati/5.0-71884","1976-1980","Coupe","Benzin",NA,"8 henger","Elsõ kerék","4 930 cm3","235 kW, 320 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MASERATI 4.9 (1971-1974)","https://katalogus.hasznaltauto.hu/maserati/4.9-71885","1971-1974","Lépcsõshátú","Benzin",NA,"8 henger",NA,"4 930 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","MASERATI 4.7 16V (1975-1979)","https://katalogus.hasznaltauto.hu/maserati/4.7_16v-71886","1975-1979","Coupe","Benzin",NA,"8 henger","Hátsó kerék","4 714 cm3",NA,NA,"2 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuális sebességváltó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","MASERATI 4.9 16V (1975-1983)","https://katalogus.hasznaltauto.hu/maserati/4.9_16v-71887","1975-1983","Coupe","Benzin",NA,"8 henger","Hátsó kerék","4 930 cm3",NA,NA,"2 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuális sebességváltó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MASERATI Coupe (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/coupe-15480","2004-2006","Coupe","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","287 kW, 390 LE","Nagykocsi","2 ajtó","2 fõ","1 670 kg","1 940 kg","1 822 mm","1 305 mm","4 253 mm","2 660 mm","88 l","270 kg","Manuális (6 fokozatú) sebességváltó","285 km/h","4,9 s","451 Nm","235/40 ZR18 265/35 ZR18 ","28 399 400 Ft","220 l","437 g/km","18,6 l/100km",NA,NA,NA,NA
"18","MASERATI Coupe Cambiocorsa (Automata)  (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/coupe_cambiocorsa_automata-15481","2004-2006","Coupe","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","287 kW, 390 LE","Nagykocsi","2 ajtó","2 fõ","1 680 kg","1 940 kg","1 822 mm","1 305 mm","4 253 mm","2 660 mm","88 l","260 kg","Automata (6 fokozatú) sebességváltó","285 km/h","4,9 s","451 Nm","235/40 ZR18 265/35 ZR18 ","30 000 680 Ft","220 l","437 g/km","18,6 l/100km",NA,NA,NA,NA
"19","MASERATI Ghibli (1992-1998)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15467","1992-1998","Coupe","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","225 kW, 306 LE","Nagykocsi","2 ajtó","4 fõ","1 365 kg","1 660 kg","1 775 mm","1 300 mm","4 223 mm","2 515 mm",NA,"295 kg","Manuális (6 fokozatú) sebességváltó","265 km/h","5,7 s","373 Nm","215/45 ZR17 245/40 ZR17 ","14 990 000 Ft","420 l","249 g/km","10,6 l/100km","18,4 l/100km","9,1 l/100km",NA,NA
"20","MASERATI Ghibli (1992-1998)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15468","1992-1998","Coupe","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","243 kW, 330 LE","Nagykocsi","2 ajtó","4 fõ","1 365 kg","1 660 kg","1 775 mm","1 300 mm","4 223 mm","2 515 mm",NA,"295 kg","Manuális (6 fokozatú) sebességváltó","270 km/h","5,6 s","371 Nm","215/45 ZR17 245/40 ZR17 ","19 750 000 Ft","420 l","249 g/km","10,6 l/100km","18,4 l/100km","9,1 l/100km",NA,NA
"21","MASERATI Ghibli (1998.)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15469","1998.","Coupe","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","206 kW, 280 LE","Nagykocsi","2 ajtó","5 fõ","1 365 kg","1 870 kg","1 775 mm","1 300 mm","4 233 mm","2 514 mm","80 l","505 kg","Manuális (6 fokozatú) sebességváltó","260 km/h","5,7 s","397 Nm","215/45 ZR17 245/70 ZR17 ",NA,"420 l","310 g/km","13,2 l/100km","17,9 l/100km","11,7 l/100km",NA,NA
"22","MASERATI Ghibli (Automata)  (1998.)","https://katalogus.hasznaltauto.hu/maserati/ghibli_automata-15470","1998.","Coupe","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","206 kW, 280 LE","Nagykocsi","2 ajtó","5 fõ","1 406 kg","1 910 kg","1 775 mm","1 300 mm","4 233 mm","2 514 mm","80 l","504 kg","Automata (4 fokozatú) sebességváltó","255 km/h","5,7 s","397 Nm","215/45 ZR17 245/70 ZR17 ",NA,"420 l","303 g/km","12,9 l/100km","17,7 l/100km","11,7 l/100km",NA,NA
"23","MASERATI Ghibli (1992-1998)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15471","1992-1998","Coupe","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE","Nagykocsi","2 ajtó","4 fõ","1 365 kg","1 660 kg","1 775 mm","1 300 mm","4 223 mm","2 515 mm",NA,"295 kg","Manuális (6 fokozatú) sebességváltó","260 km/h","5,7 s","413 Nm","215/45 ZR17 245/40 ZR17 ","15 490 000 Ft","420 l","275 g/km","11,7 l/100km","17,9 l/100km","9,0 l/100km",NA,NA
"24","MASERATI Ghibli 3.0 V6 BT (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_bt_automata-15472","2013–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","243 kW, 330 LE","Nagykocsi","4 ajtó","5 fõ",NA,"1 810 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l",NA,"Automata (8 fokozatú tiptronic) sebességváltó","263 km/h","5,6 s","500 Nm","235/50 R18 ","23 632 237 Ft","500 l","223 g/km","9,6 l/100km","14,0 l/100km","7,1 l/100km","12 m","EURO 5"
"25","MASERATI Ghibli 3.0 V6 BT (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_bt_automata-15473","2013–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","301 kW, 409 LE","Nagykocsi","4 ajtó","5 fõ",NA,"1 870 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l",NA,"Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","550 Nm","235/50 R18 ","28 014 118 Ft","500 l","242 g/km","10,4 l/100km","15,7 l/100km","7,3 l/100km","12 m","EURO 5"
"26","MASERATI Ghibli 3.0 V6 BT Q4 (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_bt_q4_automata-15474","2013–","Coupe","Benzin","V","6 henger","Összkerék","2 979 cm3","301 kW, 409 LE","Nagykocsi","4 ajtó","5 fõ",NA,"1 870 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l",NA,"Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","550 Nm","235/50 R18 ","29 047 580 Ft","500 l","242 g/km","10,4 l/100km","15,7 l/100km","7,3 l/100km","12 m","EURO 5"
"27","MASERATI Ghibli 3.0 D V6 (Automata)  (2015–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_d_v6_automata-100715","2015–","Coupe","Dízel","V","6 henger","Hátsó kerék","2 987 cm3","202 kW, 275 LE","Nagykocsi","4 ajtó","5 fõ","1 990 kg","2 540 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","70 l","550 kg","Automata (8 fokozatú tiptronic) sebességváltó","250 km/h","6,3 s","600 Nm","235/50 R18 ","23 760 772 Ft","500 l","158 g/km","5,9 l/100km","7,6 l/100km","5,0 l/100km","12 m","EURO 6"
"28","MASERATI Ghibli 3.0 V6 (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_automata-112309","2018–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","257 kW, 350 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 450 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","640 kg","Automata (8 fokozatú tiptronic) sebességváltó","267 km/h","5,6 s","500 Nm","235/50 R18 ","26 271 200 Ft","500 l","207 g/km","8,9 l/100km","12,6 l/100km","6,8 l/100km","12 m","EURO 6"
"29","MASERATI Ghibli 3.0 V6 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_granlusso_automata-112310","2018–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","257 kW, 350 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 450 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","640 kg","Automata (8 fokozatú tiptronic) sebességváltó","267 km/h","5,6 s","500 Nm","235/50 R18 ","28 809 776 Ft","500 l","207 g/km","8,9 l/100km","12,6 l/100km","6,8 l/100km","12 m","EURO 6"
"30","MASERATI Ghibli 3.0 V6 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_gransport_automata-112311","2018–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","257 kW, 350 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 450 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","640 kg","Automata (8 fokozatú tiptronic) sebességváltó","267 km/h","5,6 s","500 Nm","235/50 R18 ","28 809 776 Ft","500 l","207 g/km","8,9 l/100km","12,6 l/100km","6,8 l/100km","12 m","EURO 6"
"31","MASERATI Ghibli 3.0 V6 S (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_automata-112312","2018–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 470 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","660 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","580 Nm","235/50 R18 275/45 R18 ","30 929 904 Ft","500 l","223 g/km","9,6 l/100km","13,8 l/100km","7,1 l/100km","12 m","EURO 6"
"32","MASERATI Ghibli 3.0 V6 S GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_granlusso_automata-112313","2018–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 470 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","660 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","580 Nm","235/50 R18 275/45 R18 ","34 047 220 Ft","500 l","223 g/km","9,6 l/100km","13,8 l/100km","7,1 l/100km","12 m","EURO 6"
"33","MASERATI Ghibli 3.0 V6 S GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_gransport_automata-112314","2018–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 470 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","660 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","580 Nm","235/50 R18 275/45 R18 ","34 047 220 Ft","500 l","223 g/km","9,6 l/100km","13,8 l/100km","7,1 l/100km","12 m","EURO 6"
"34","MASERATI Ghibli 3.0 V6 S Q4 (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_q4_automata-112315","2018–","Coupe","Benzin","V","6 henger","Összkerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","2 010 kg","2 530 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","520 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","550 Nm","235/50 R18 275/45 R18 ","32 031 075 Ft","500 l","246 g/km","10,5 l/100km","15,8 l/100km","7,6 l/100km","12 m","EURO 6"
"35","MASERATI Ghibli 3.0 V6 S Q4 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_q4_granlusso_automata-112316","2018–","Coupe","Benzin","V","6 henger","Összkerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","2 010 kg","2 530 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","520 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","550 Nm","235/50 R18 275/45 R18 ","35 148 391 Ft","500 l","246 g/km","10,5 l/100km","15,8 l/100km","7,6 l/100km","12 m","EURO 6"
"36","MASERATI Ghibli 3.0 V6 S Q4 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_q4_gransport_automata-112317","2018–","Coupe","Benzin","V","6 henger","Összkerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","2 010 kg","2 530 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","520 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","550 Nm","235/50 R18 275/45 R18 ","35 148 391 Ft","500 l","246 g/km","10,5 l/100km","15,8 l/100km","7,6 l/100km","12 m","EURO 6"
"37","MASERATI Ghibli 3.0 D V6 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_d_v6_granlusso_automata-112318","2018–","Coupe","Dízel","V","6 henger","Hátsó kerék","2 987 cm3","202 kW, 275 LE","Nagykocsi","4 ajtó","5 fõ","1 990 kg","2 540 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","70 l","550 kg","Automata (8 fokozatú tiptronic) sebességváltó","250 km/h","6,3 s","600 Nm","235/50 R18 ","28 356 235 Ft","500 l","158 g/km","5,9 l/100km","7,6 l/100km","5,0 l/100km","12 m","EURO 6"
"38","MASERATI Ghibli 3.0 D V6 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_d_v6_gransport_automata-112319","2018–","Coupe","Dízel","V","6 henger","Hátsó kerék","2 987 cm3","202 kW, 275 LE","Nagykocsi","4 ajtó","5 fõ","1 990 kg","2 540 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","70 l","550 kg","Automata (8 fokozatú tiptronic) sebességváltó","250 km/h","6,3 s","600 Nm","235/50 R18 ","28 356 235 Ft","500 l","158 g/km","5,9 l/100km","7,6 l/100km","5,0 l/100km","12 m","EURO 6"
"39","MASERATI Ghibli 3.0 V6 S (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_automata-128355","2020–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 470 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","660 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","580 Nm","235/50 R18 275/45 R18 ","33 556 983 Ft","500 l","226 g/km","9,7 l/100km","13,8 l/100km","7,1 l/100km","12 m","EURO 6"
"40","MASERATI Ghibli 3.0 V6 S GranLusso (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_granlusso_automata-128356","2020–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 470 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","660 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","580 Nm","245/45 R19 275/40 R19 ","37 503 229 Ft","500 l","226 g/km","9,7 l/100km","13,8 l/100km","7,1 l/100km","12 m","EURO 6"
"41","MASERATI Ghibli 3.0 V6 S GranSport (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_gransport_automata-128357","2020–","Coupe","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","5 fõ","1 810 kg","2 470 kg","1 945 mm","1 461 mm","4 971 mm","2 998 mm","80 l","660 kg","Automata (8 fokozatú tiptronic) sebességváltó","284 km/h","4,8 s","580 Nm","245/40 R20 285/35 R20 ","37 503 229 Ft","500 l","226 g/km","9,7 l/100km","13,8 l/100km","7,1 l/100km","12 m","EURO 6"
"42","MASERATI GranCabrio (Automata)  (2010-2012)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_automata-15511","2010-2012","Cabrio","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","323 kW, 439 LE","Nagykocsi","2 ajtó","4 fõ","1 980 kg","2 280 kg","1 915 mm","1 353 mm","4 881 mm","2 942 mm","75 l","300 kg","Automata (6 fokozatú tiptronic) sebességváltó","283 km/h","5,3 s","490 Nm",NA,"45 518 020 Ft","173 l","357 g/km","15,2 l/100km","23,2 l/100km","10,5 l/100km","12 m",NA
"43","MASERATI GranCabrio 4.7 (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_automata-15512","2013–","Cabrio","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","331 kW, 450 LE","Nagykocsi","2 ajtó","4 fõ","1 980 kg","2 280 kg","1 915 mm","1 380 mm","4 881 mm","2 942 mm",NA,"300 kg","Automata (6 fokozatú tiptronic) sebességváltó",NA,"5,2 s","520 Nm","245/35 R20 ","46 519 928 Ft",NA,"337 g/km","14,5 l/100km","22,5 l/100km","9,8 l/100km",NA,"EURO 5"
"44","MASERATI GranCabrio 4.7 Sport (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_sport_automata-15513","2013–","Cabrio","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","331 kW, 450 LE","Nagykocsi","2 ajtó","4 fõ","1 980 kg","2 280 kg","1 915 mm","1 380 mm","4 881 mm","2 942 mm",NA,"300 kg","Automata (6 fokozatú tiptronic) sebességváltó",NA,"5,2 s","520 Nm","245/35 R20 ","48 999 903 Ft",NA,"337 g/km","14,5 l/100km","22,5 l/100km","9,8 l/100km",NA,"EURO 5"
"45","MASERATI GranCabrio 4.7 MC (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_mc_automata-15514","2013–","Cabrio","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","331 kW, 450 LE","Nagykocsi","2 ajtó","4 fõ","1 980 kg","2 280 kg","1 915 mm","1 380 mm","4 881 mm","2 942 mm",NA,"300 kg","Automata (6 fokozatú tiptronic) sebességváltó",NA,"5,2 s","520 Nm","245/35 R20 ","52 899 895 Ft",NA,"337 g/km","14,5 l/100km","22,5 l/100km","9,8 l/100km",NA,"EURO 5"
"46","MASERATI GranCabrio 4.7 MC Centenario (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_mc_centenario_automata-100720","2016–","Cabrio","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","338 kW, 460 LE","Nagykocsi","2 ajtó","4 fõ","1 980 kg","2 280 kg","1 915 mm","1 380 mm","4 881 mm","2 942 mm",NA,"300 kg","Automata (6 fokozatú tiptronic) sebességváltó",NA,"5,2 s","520 Nm","245/35 R20 ","59 554 212 Ft",NA,"337 g/km","14,5 l/100km","22,5 l/100km","9,8 l/100km",NA,"EURO 6"
